modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;t_vox;delta_rss_vox;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Armadillo;Cubica;400;10;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;8,852;233,30;0,0208
Buda;Justa;25;1;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,007;0,00;1,0531
Buda;Justa;25;2;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,005;0,00;1,0531
Buda;Justa;25;3;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,006;0,00;1,0531
Buda;Justa;25;4;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,007;0,00;1,0531
Buda;Justa;25;5;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,007;0,00;1,0531
Buda;Justa;25;6;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,006;0,00;1,0531
Buda;Justa;25;7;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,005;0,00;1,0531
Buda;Justa;25;8;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,006;0,00;1,0531
Buda;Justa;25;9;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,006;0,00;1,0531
Buda;Justa;25;10;6,0400;11;26;11;3146;1070;2076;0,3401;3,340;-0,50;3313;602;2297;5;0,005;0,00;1,0531
Buda;Cubica;25;1;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,004;0,00;0,2182
Buda;Cubica;25;2;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,005;0,00;0,2182
Buda;Cubica;25;3;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,004;0,00;0,2182
Buda;Cubica;25;4;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,004;0,00;0,2182
Buda;Cubica;25;5;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,004;0,00;0,2182
Buda;Cubica;25;6;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,004;0,00;0,2182
Buda;Cubica;25;7;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,004;0,00;0,2182
Buda;Cubica;25;8;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,004;0,00;0,2182
Buda;Cubica;25;9;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,017;0,00;0,2182
Buda;Cubica;25;10;6,0400;25;25;25;15625;1043;14582;0,0668;3,340;-0,50;3409;817;2166;5;0,004;0,00;0,2182
Buda;Justa;50;1;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,034;0,79;0,8132
Buda;Justa;50;2;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,034;1,00;0,8132
